Date,Height
2023-01-01 05:31,1.58
2023-01-01 11:27,1.03
2023-01-01 18:44,2.05
2023-01-02 01:18,0.98
2023-01-02 07:18,1.44
2023-01-02 12:07,1.16
2023-01-02 19:11,2.17
2023-01-03 02:26,0.76
2023-01-03 09:09,1.41
2023-01-03 12:43,1.26
2023-01-03 19:37,2.29
2023-01-04 03:18,0.57
2023-01-04 10:08,1.42
2023-01-04 13:17,1.31
2023-01-04 20:04,2.39
2023-01-05 04:02,0.42
2023-01-05 10:48,1.43
2023-01-05 13:50,1.33
2023-01-05 20:34,2.47
2023-01-06 04:42,0.34
2023-01-06 11:19,1.44
2023-01-06 14:25,1.32
2023-01-06 21:06,2.52
2023-01-07 05:20,0.29
2023-01-07 11:48,1.45
2023-01-07 15:01,1.30
2023-01-07 21:38,2.54
2023-01-08 05:55,0.29
2023-01-08 12:17,1.46
2023-01-08 15:38,1.28
2023-01-08 22:11,2.53
2023-01-09 06:28,0.32
2023-01-09 12:45,1.46
2023-01-09 16:16,1.26
2023-01-09 22:44,2.50
2023-01-10 07:00,0.37
2023-01-10 13:13,1.47
2023-01-10 16:56,1.26
2023-01-10 23:18,2.43
2023-01-11 07:29,0.43
2023-01-11 13:42,1.50
2023-01-11 17:39,1.27
2023-01-11 23:52,2.33
2023-01-12 07:58,0.51
2023-01-12 14:16,1.54
2023-01-12 18:27,1.29
2023-01-13 00:28,2.19
2023-01-13 08:28,0.61
2023-01-13 14:54,1.60
2023-01-13 19:25,1.32
2023-01-14 01:08,2.00
2023-01-14 09:00,0.72
2023-01-14 15:34,1.69
2023-01-14 20:46,1.31
2023-01-15 01:55,1.78
2023-01-15 09:35,0.85
2023-01-15 16:16,1.80
2023-01-15 22:24,1.23
2023-01-16 03:09,1.54
2023-01-16 10:15,0.99
2023-01-16 16:57,1.96
2023-01-16 23:57,1.05
2023-01-17 06:02,1.37
2023-01-17 11:01,1.12
2023-01-17 17:41,2.14
2023-01-18 01:28,0.79
2023-01-18 08:25,1.37
2023-01-18 11:53,1.23
2023-01-18 18:26,2.35
2023-01-19 02:35,0.52
2023-01-19 09:41,1.43
2023-01-19 12:50,1.29
2023-01-19 19:15,2.55
2023-01-20 03:32,0.28
2023-01-20 10:33,1.49
2023-01-20 13:47,1.30
2023-01-20 20:06,2.73
2023-01-21 04:23,0.10
2023-01-21 11:16,1.52
2023-01-21 14:43,1.26
2023-01-21 21:00,2.85
2023-01-22 05:11,0.01
2023-01-22 11:55,1.54
2023-01-22 15:36,1.20
2023-01-22 21:50,2.89
2023-01-23 05:55,0.00
2023-01-23 12:33,1.56
2023-01-23 16:29,1.13
2023-01-23 22:41,2.85
2023-01-24 06:37,0.07
2023-01-24 13:10,1.59
2023-01-24 17:21,1.07
2023-01-24 23:31,2.71
2023-01-25 07:16,0.20
2023-01-25 13:49,1.64
2023-01-25 18:16,1.05
2023-01-26 00:20,2.50
2023-01-26 07:51,0.39
2023-01-26 14:28,1.70
2023-01-26 19:16,1.06
2023-01-27 01:08,2.22
2023-01-27 08:24,0.59
2023-01-27 15:09,1.76
2023-01-27 20:28,1.09
2023-01-28 01:57,1.90
2023-01-28 08:51,0.80
2023-01-28 15:53,1.83
2023-01-28 21:50,1.09
2023-01-29 03:00,1.57
2023-01-29 09:12,1.00
2023-01-29 16:41,1.90
2023-01-29 23:23,1.01
2023-01-30 05:14,1.30
2023-01-30 09:25,1.16
2023-01-30 17:32,1.98
2023-01-31 01:14,0.85
2023-01-31 18:20,2.07
2023-02-01 02:29,0.65
2023-02-01 19:04,2.16
2023-02-02 03:17,0.48
2023-02-02 19:44,2.25
2023-02-03 03:55,0.37
2023-02-03 10:53,1.40
2023-02-03 13:29,1.35
2023-02-03 20:22,2.33
2023-02-04 04:29,0.30
2023-02-04 11:05,1.42
2023-02-04 14:21,1.29
2023-02-04 20:59,2.39
2023-02-05 05:01,0.27
2023-02-05 11:22,1.45
2023-02-05 15:05,1.21
2023-02-05 21:34,2.43
2023-02-06 05:31,0.28
2023-02-06 11:40,1.48
2023-02-06 15:47,1.13
2023-02-06 22:09,2.44
2023-02-07 05:59,0.32
2023-02-07 11:58,1.52
2023-02-07 16:27,1.07
2023-02-07 22:42,2.41
2023-02-08 06:24,0.38
2023-02-08 12:16,1.57
2023-02-08 17:08,1.02
2023-02-08 23:16,2.34
2023-02-09 06:46,0.46
2023-02-09 12:36,1.64
2023-02-09 17:49,0.99
2023-02-09 23:50,2.23
2023-02-10 07:07,0.55
2023-02-10 13:00,1.71
2023-02-10 18:33,0.98
2023-02-11 00:25,2.07
2023-02-11 07:29,0.67
2023-02-11 13:27,1.79
2023-02-11 19:24,0.99
2023-02-12 01:03,1.86
2023-02-12 07:53,0.80
2023-02-12 13:59,1.87
2023-02-12 20:27,0.99
2023-02-13 01:49,1.62
2023-02-13 08:17,0.96
2023-02-13 14:39,1.95
2023-02-13 21:51,0.94
2023-02-14 03:34,1.36
2023-02-14 08:41,1.12
2023-02-14 15:33,2.05
2023-02-14 23:25,0.83
